id,client_id,title,category,city,latitude,longitude,urgency,budget_min,budget_max,desc_len,n_photos,status,created_at
28,236,Déménagement 3 pièces,Déménagement,Casablanca,33.66828,-7.52209,urgent,210,2860,251,5,completed,2026-03-22
29,323,Terrasse à carreler,Carrelage,Rabat,33.97599,-6.8606,normal,175,2600,263,2,completed,2025-11-28
30,142,Engazonnement,Jardinage,Casablanca,33.53516,-7.54675,urgent,105,1170,112,1,completed,2026-05-02
31,206,Poser carrelage salle de bain,Carrelage,Fès,34.10783,-4.92289,normal,175,2600,345,4,completed,2025-11-14
32,370,Éclairage LED,Électricité,Meknès,33.85305,-5.54791,normal,140,1820,225,1,open,2025-12-01
33,173,Engazonnement,Jardinage,Tanger,35.81459,-5.73469,normal,105,1170,87,1,completed,2026-05-29
34,152,Désinfection locaux,Nettoyage,Fès,34.01124,-4.9577,normal,70,780,76,5,completed,2025-12-29
35,367,Poser carrelage salle de bain,Carrelage,Tanger,35.73718,-5.74292,normal,175,2600,180,4,completed,2025-11-17
36,21,Créer une ouverture,Maçonnerie,Fès,34.06952,-5.04891,normal,280,4550,142,1,completed,2026-05-02
37,75,Chauffe-eau en panne,Plomberie,Agadir,30.37238,-9.70172,urgent,105,1170,254,3,completed,2026-01-02
38,266,Transport canapé,Déménagement,Meknès,33.92101,-5.46328,très urgent,210,2860,163,5,completed,2025-10-17
39,187,Enduit à refaire,Maçonnerie,Tanger,35.76823,-5.92545,urgent,280,4550,194,5,open,2026-03-28
40,66,Installer des prises,Électricité,Oujda,34.69435,-1.99685,urgent,140,1820,146,5,open,2026-01-29
41,138,Transport canapé,Déménagement,Casablanca,33.5645,-7.60323,normal,210,2860,63,1,open,2026-03-18
42,333,WC bouché,Plomberie,Tanger,35.75445,-5.78939,normal,105,1170,211,0,completed,2026-03-23
43,15,Réseau WiFi,Informatique,Oujda,34.67174,-1.85424,normal,70,1170,232,1,completed,2026-03-07
44,156,Terrasse à carreler,Carrelage,Marrakech,31.6446,-7.89981,très urgent,175,2600,103,4,completed,2025-11-13
45,28,PC qui ne démarre plus,Informatique,Tanger,35.77841,-5.77462,normal,70,1170,62,4,completed,2025-09-12
46,397,Placard sur mesure,Menuiserie,Fès,33.93157,-4.90728,urgent,210,2860,199,0,open,2026-03-25
47,359,Installer pompe à chaleur,Climatisation,Meknès,33.95943,-5.57297,normal,350,4160,205,1,open,2025-09-03
48,363,Installer interphone,Serrurerie,Agadir,30.42773,-9.6663,normal,70,910,146,2,completed,2025-07-16
49,385,Installer des prises,Électricité,Agadir,30.3241,-9.57515,très urgent,140,1820,60,5,completed,2025-06-05
50,3,Poser carrelage salle de bain,Carrelage,Meknès,33.85161,-5.48243,normal,175,2600,221,0,completed,2026-04-26
51,94,Nettoyage après travaux,Nettoyage,Marrakech,31.73237,-8.06824,urgent,70,780,109,4,completed,2026-01-16
52,260,Porte qui frotte,Menuiserie,Oujda,34.58515,-2.01112,normal,210,2860,91,2,completed,2025-11-30
53,303,Désinfection locaux,Nettoyage,Fès,34.11984,-5.00051,urgent,70,780,343,2,completed,2026-03-12
54,230,Panne de courant,Électricité,Rabat,33.98595,-6.87064,normal,140,1820,281,1,completed,2025-12-05
55,338,Caméras surveillance,Informatique,Rabat,34.09609,-6.93004,urgent,70,1170,299,4,completed,2026-02-27
56,280,Installer pompe à chaleur,Climatisation,Marrakech,31.58249,-8.05992,urgent,350,4160,179,5,completed,2025-12-15
57,13,Engazonnement,Jardinage,Rabat,33.98231,-6.84504,normal,105,1170,284,2,completed,2025-07-03
58,97,Panne de courant,Électricité,Agadir,30.51258,-9.54451,normal,140,1820,118,5,open,2026-03-05
59,15,Chauffe-eau en panne,Plomberie,Agadir,30.40291,-9.63015,normal,105,1170,252,5,completed,2026-02-20
60,358,Robinet qui goutte,Plomberie,Marrakech,31.54272,-7.88381,urgent,105,1170,193,0,completed,2025-09-18
61,314,WC bouché,Plomberie,Casablanca,33.66436,-7.65336,urgent,105,1170,178,0,completed,2025-09-03
62,117,Terrasse à carreler,Carrelage,Meknès,33.79507,-5.62478,normal,175,2600,162,3,completed,2026-04-21
63,335,PC qui ne démarre plus,Informatique,Agadir,30.40817,-9.704,urgent,70,1170,223,2,completed,2026-02-09
64,6,Clim qui ne refroidit plus,Climatisation,Meknès,33.79443,-5.48954,normal,350,4160,144,0,completed,2025-08-25
65,35,Placard sur mesure,Menuiserie,Tanger,35.68758,-5.78209,très urgent,210,2860,233,2,completed,2026-03-23
66,390,Panne de courant,Électricité,Meknès,33.96331,-5.46427,très urgent,140,1820,314,3,open,2026-01-31
67,246,Tableau à refaire,Électricité,Rabat,33.96223,-6.76958,normal,140,1820,64,1,completed,2026-01-15
68,227,Montage meubles,Déménagement,Casablanca,33.60832,-7.58902,très urgent,210,2860,137,5,open,2025-06-12
69,79,Joints à refaire,Carrelage,Agadir,30.51901,-9.63051,normal,175,2600,58,3,completed,2026-02-18
70,95,Chaudière à réviser,Climatisation,Marrakech,31.59402,-7.93328,normal,350,4160,255,0,completed,2026-03-02
71,83,Porte qui frotte,Menuiserie,Tanger,35.66365,-5.79405,normal,210,2860,303,0,completed,2025-11-16
72,74,Installer des prises,Électricité,Marrakech,31.52267,-8.08847,normal,140,1820,228,4,open,2026-04-22
73,19,Montage meubles,Déménagement,Rabat,33.91707,-6.77155,normal,210,2860,322,5,completed,2026-04-16
74,384,Fissures dans le mur,Maçonnerie,Oujda,34.71105,-1.94488,très urgent,280,4550,262,3,completed,2026-01-23
75,115,Porte qui frotte,Menuiserie,Agadir,30.45744,-9.66851,très urgent,210,2860,161,1,completed,2026-01-12
76,74,WC bouché,Plomberie,Oujda,34.66732,-1.82928,urgent,105,1170,235,1,completed,2025-09-19
77,214,Engazonnement,Jardinage,Oujda,34.67457,-1.93552,normal,105,1170,196,5,completed,2026-03-03
78,112,Caméras surveillance,Informatique,Marrakech,31.64429,-7.88423,urgent,70,1170,346,2,completed,2025-12-31
79,158,Fissures dans le mur,Maçonnerie,Meknès,33.81595,-5.63192,urgent,280,4550,183,4,completed,2025-09-24
80,81,Chaudière à réviser,Climatisation,Meknès,33.98801,-5.56205,très urgent,350,4160,42,5,open,2026-05-12
81,89,Repeindre le salon,Peinture,Fès,34.06384,-4.98377,urgent,140,2080,107,3,open,2025-08-10
82,391,Taille de haie,Jardinage,Tanger,35.78336,-5.77705,normal,105,1170,48,5,open,2025-07-18
83,11,Chauffe-eau en panne,Plomberie,Casablanca,33.53667,-7.67846,très urgent,105,1170,212,1,completed,2025-11-09
84,320,Poser carrelage salle de bain,Carrelage,Oujda,34.68131,-1.86738,normal,175,2600,81,4,open,2025-08-27
85,213,Installer des prises,Électricité,Meknès,33.81961,-5.53599,normal,140,1820,173,5,completed,2025-08-02
86,228,Tableau à refaire,Électricité,Casablanca,33.49431,-7.61554,normal,140,1820,117,0,completed,2026-01-16
87,94,Taille de haie,Jardinage,Casablanca,33.67479,-7.49324,normal,105,1170,203,0,completed,2025-09-03
88,154,Chaudière à réviser,Climatisation,Meknès,33.98361,-5.63141,très urgent,350,4160,130,5,open,2025-07-17
89,182,Déménagement 3 pièces,Déménagement,Oujda,34.58204,-1.82685,normal,210,2860,116,2,completed,2026-02-22
90,13,Système d'arrosage,Jardinage,Tanger,35.84724,-5.93086,normal,105,1170,186,2,completed,2025-11-24
91,384,Clim qui ne refroidit plus,Climatisation,Oujda,34.72117,-1.94753,normal,350,4160,349,0,completed,2025-11-06
92,241,Changer cylindre,Serrurerie,Meknès,33.79317,-5.51013,urgent,70,910,201,2,completed,2025-12-30
93,178,Caméras surveillance,Informatique,Agadir,30.43913,-9.60052,normal,70,1170,260,5,open,2025-11-15
94,261,Installer des prises,Électricité,Casablanca,33.64029,-7.52359,normal,140,1820,68,1,completed,2026-03-24
95,399,Éclairage LED,Électricité,Rabat,33.91488,-6.9468,urgent,140,1820,346,0,open,2026-04-24
96,170,Clim qui ne refroidit plus,Climatisation,Rabat,34.04524,-6.93756,normal,350,4160,71,1,open,2025-06-06
97,222,Clim qui ne refroidit plus,Climatisation,Marrakech,31.56684,-7.93419,normal,350,4160,350,4,open,2026-06-02
98,254,Déménagement 3 pièces,Déménagement,Fès,34.02664,-4.94993,normal,210,2860,61,3,open,2025-07-15
99,91,Fissures dans le mur,Maçonnerie,Agadir,30.3508,-9.58902,très urgent,280,4550,93,5,completed,2025-09-08
100,84,Installer interphone,Serrurerie,Agadir,30.44976,-9.59666,normal,70,910,248,2,completed,2025-10-06
101,336,Clim qui ne refroidit plus,Climatisation,Agadir,30.38055,-9.67134,normal,350,4160,282,2,completed,2026-04-18
102,41,Chaudière à réviser,Climatisation,Oujda,34.58119,-1.85859,normal,350,4160,331,2,completed,2026-05-18
103,135,Réseau WiFi,Informatique,Tanger,35.74886,-5.78163,normal,70,1170,285,2,completed,2026-03-11
104,117,Transport canapé,Déménagement,Fès,33.93442,-5.03181,normal,210,2860,266,2,completed,2026-01-28
105,79,Réparer parquet,Menuiserie,Meknès,33.87612,-5.65012,normal,210,2860,192,3,completed,2025-08-20
106,8,Changer cylindre,Serrurerie,Fès,33.95785,-4.90356,normal,70,910,38,3,completed,2025-11-24
107,255,Installer interphone,Serrurerie,Fès,33.99082,-4.90158,normal,70,910,146,1,completed,2026-02-15
108,82,Taille de haie,Jardinage,Casablanca,33.5414,-7.67499,très urgent,105,1170,274,4,open,2026-02-25
109,254,Enduit à refaire,Maçonnerie,Meknès,33.89145,-5.44852,urgent,280,4550,203,5,open,2026-01-10
110,314,Éclairage LED,Électricité,Fès,34.03971,-5.03436,normal,140,1820,95,2,completed,2025-07-07
111,190,Changer cylindre,Serrurerie,Marrakech,31.56668,-8.01868,normal,70,910,190,5,completed,2025-10-26
112,296,Terrasse à carreler,Carrelage,Marrakech,31.71639,-7.88046,urgent,175,2600,323,1,completed,2025-10-04
113,289,Engazonnement,Jardinage,Casablanca,33.53277,-7.50748,normal,105,1170,105,4,open,2026-02-11
114,237,Déménagement 3 pièces,Déménagement,Agadir,30.33416,-9.62198,normal,210,2860,171,5,open,2026-02-02
115,127,Créer une ouverture,Maçonnerie,Casablanca,33.53574,-7.51957,normal,280,4550,104,2,completed,2025-11-12
116,103,Chaudière à réviser,Climatisation,Marrakech,31.72847,-7.96,normal,350,4160,61,5,completed,2026-02-18
117,193,Changer cylindre,Serrurerie,Casablanca,33.52946,-7.65375,normal,70,910,44,5,completed,2025-07-15
118,398,Placard sur mesure,Menuiserie,Oujda,34.71392,-1.89945,normal,210,2860,190,0,completed,2025-10-24
119,311,Engazonnement,Jardinage,Agadir,30.35491,-9.67842,très urgent,105,1170,93,0,completed,2026-02-04
120,162,PC qui ne démarre plus,Informatique,Meknès,33.90434,-5.51943,urgent,70,1170,232,1,open,2026-04-30
121,145,Poser carrelage salle de bain,Carrelage,Casablanca,33.65597,-7.68583,urgent,175,2600,97,3,open,2025-08-15
122,78,Tableau à refaire,Électricité,Fès,34.12846,-5.05729,urgent,140,1820,212,2,open,2025-07-10
123,253,Serrure bloquée,Serrurerie,Casablanca,33.57844,-7.55914,normal,70,910,109,4,completed,2026-01-20
124,391,Repeindre le salon,Peinture,Marrakech,31.57312,-7.9498,normal,140,2080,56,5,completed,2026-02-05
125,113,Fissures dans le mur,Maçonnerie,Fès,34.13155,-5.07834,normal,280,4550,228,5,completed,2026-02-21
126,253,Fuite sous l'évier,Plomberie,Meknès,33.90432,-5.64673,normal,105,1170,136,1,completed,2025-11-30
127,189,Lavage vitres,Nettoyage,Fès,34.01107,-5.07519,normal,70,780,348,2,open,2026-02-21
128,199,Placard sur mesure,Menuiserie,Marrakech,31.68446,-8.0338,normal,210,2860,163,3,open,2026-01-22
129,15,Taille de haie,Jardinage,Meknès,33.82963,-5.63104,normal,105,1170,84,5,completed,2025-09-15
130,354,Chaudière à réviser,Climatisation,Marrakech,31.7131,-7.91237,normal,350,4160,57,5,completed,2025-10-12
131,13,Rafraîchir façade,Peinture,Casablanca,33.51179,-7.65879,normal,140,2080,285,5,completed,2026-01-25
132,386,Porte qui frotte,Menuiserie,Oujda,34.68241,-1.89048,urgent,210,2860,157,0,completed,2025-06-20
133,6,Repeindre le salon,Peinture,Casablanca,33.5306,-7.61544,normal,140,2080,111,0,open,2026-05-01
134,98,Changer cylindre,Serrurerie,Tanger,35.66785,-5.85184,normal,70,910,47,0,open,2026-01-24
135,105,Éclairage LED,Électricité,Casablanca,33.65532,-7.49639,normal,140,1820,87,0,completed,2026-03-28
136,140,Décoration chambre,Peinture,Casablanca,33.61697,-7.59418,urgent,140,2080,108,1,open,2025-12-15
137,16,Fuite sous l'évier,Plomberie,Oujda,34.6721,-1.91882,normal,105,1170,36,4,completed,2025-10-26
138,246,Fissures dans le mur,Maçonnerie,Agadir,30.32497,-9.64741,urgent,280,4550,150,5,completed,2026-05-03
139,289,Changer cylindre,Serrurerie,Oujda,34.74983,-1.86479,urgent,70,910,176,2,open,2026-01-24
140,242,Désinfection locaux,Nettoyage,Fès,34.0059,-4.91312,urgent,70,780,306,1,open,2025-11-29
141,209,Placard sur mesure,Menuiserie,Meknès,33.86585,-5.44276,urgent,210,2860,105,5,completed,2026-05-16
142,185,Installer interphone,Serrurerie,Rabat,34.04299,-6.75841,normal,70,910,213,5,completed,2026-05-19
143,176,Nettoyage après travaux,Nettoyage,Fès,34.05466,-4.99131,urgent,70,780,111,4,open,2026-05-25
144,203,Tableau à refaire,Électricité,Meknès,33.97582,-5.44125,normal,140,1820,296,0,completed,2026-03-13
145,379,Enduit à refaire,Maçonnerie,Tanger,35.75716,-5.87173,urgent,280,4550,221,4,completed,2026-05-07
146,296,Poser carrelage salle de bain,Carrelage,Meknès,33.93411,-5.4418,normal,175,2600,262,1,completed,2025-06-05
147,56,Engazonnement,Jardinage,Fès,34.12321,-4.95785,normal,105,1170,237,2,completed,2026-04-27
148,13,Fuite sous l'évier,Plomberie,Casablanca,33.52895,-7.65313,urgent,105,1170,66,0,open,2026-01-07
149,184,Chaudière à réviser,Climatisation,Meknès,33.78768,-5.52621,normal,350,4160,221,1,open,2026-04-02
150,245,Installer pompe à chaleur,Climatisation,Casablanca,33.61183,-7.48666,normal,350,4160,209,0,open,2025-12-18
151,386,Lavage vitres,Nettoyage,Rabat,34.00419,-6.82276,urgent,70,780,281,0,completed,2025-07-19
152,279,Tableau à refaire,Électricité,Rabat,33.96585,-6.77011,urgent,140,1820,78,3,completed,2025-10-06
153,18,Terrasse à carreler,Carrelage,Agadir,30.43918,-9.55398,normal,175,2600,344,3,open,2025-08-09
154,304,Installer pompe à chaleur,Climatisation,Casablanca,33.66727,-7.60182,normal,350,4160,267,2,completed,2026-03-06
155,130,Montage meubles,Déménagement,Rabat,34.06376,-6.84352,très urgent,210,2860,180,1,open,2025-11-21
156,219,Installer des prises,Électricité,Fès,34.13461,-5.0915,normal,140,1820,157,0,completed,2025-12-14
157,94,Fissures dans le mur,Maçonnerie,Tanger,35.83854,-5.81593,normal,280,4550,257,5,completed,2025-07-26
158,68,Caméras surveillance,Informatique,Casablanca,33.55972,-7.61863,urgent,70,1170,40,5,completed,2025-12-10
159,55,Installer interphone,Serrurerie,Oujda,34.58584,-1.92517,urgent,70,910,64,0,open,2025-12-05
160,244,Installer interphone,Serrurerie,Marrakech,31.71742,-7.8999,normal,70,910,112,0,completed,2025-09-13
161,192,Nettoyage après travaux,Nettoyage,Agadir,30.42302,-9.49629,urgent,70,780,328,3,open,2025-10-01
162,104,Porte qui frotte,Menuiserie,Agadir,30.3485,-9.55454,normal,210,2860,60,4,completed,2026-02-28
163,300,Nettoyage après travaux,Nettoyage,Casablanca,33.53058,-7.52246,normal,70,780,154,3,completed,2026-05-10
164,246,Enduit à refaire,Maçonnerie,Rabat,33.95007,-6.83013,urgent,280,4550,66,1,completed,2025-08-18
165,245,Lavage vitres,Nettoyage,Rabat,34.0352,-6.89629,urgent,70,780,350,2,completed,2025-12-30
166,22,Poser carrelage salle de bain,Carrelage,Meknès,33.79137,-5.51019,très urgent,175,2600,230,3,completed,2025-08-09
167,261,Changer cylindre,Serrurerie,Fès,33.97737,-4.9954,normal,70,910,68,3,completed,2025-07-08
168,361,Réparer parquet,Menuiserie,Casablanca,33.54489,-7.61288,normal,210,2860,204,2,completed,2025-11-19
169,241,Désinfection locaux,Nettoyage,Oujda,34.66207,-1.83115,urgent,70,780,316,5,completed,2026-03-25
170,173,Tableau à refaire,Électricité,Oujda,34.78945,-1.90432,urgent,140,1820,62,2,completed,2025-10-30
171,117,Terrasse à carreler,Carrelage,Tanger,35.84755,-5.81973,normal,175,2600,186,1,completed,2026-05-17
172,136,Montage meubles,Déménagement,Meknès,33.93019,-5.61468,urgent,210,2860,101,5,open,2026-05-22
173,186,Réseau WiFi,Informatique,Tanger,35.6956,-5.84207,normal,70,1170,90,5,completed,2026-04-27
174,307,Installer pompe à chaleur,Climatisation,Tanger,35.69098,-5.80211,normal,350,4160,155,3,completed,2026-03-22
175,175,Porte qui frotte,Menuiserie,Agadir,30.45072,-9.65161,très urgent,210,2860,311,3,open,2025-10-13
176,254,Engazonnement,Jardinage,Agadir,30.4302,-9.61529,normal,105,1170,248,5,completed,2025-07-30
177,199,Joints à refaire,Carrelage,Rabat,33.943,-6.92313,urgent,175,2600,57,0,completed,2025-07-30
178,66,Tableau à refaire,Électricité,Meknès,33.82969,-5.46269,normal,140,1820,35,0,open,2025-10-28
179,221,Fissures dans le mur,Maçonnerie,Marrakech,31.56905,-7.95869,urgent,280,4550,312,2,completed,2025-06-16
180,163,Fissures dans le mur,Maçonnerie,Fès,34.0994,-4.9297,normal,280,4550,345,0,completed,2026-03-24
181,139,Taille de haie,Jardinage,Rabat,33.93348,-6.76692,normal,105,1170,265,4,open,2025-09-25
182,144,Installer des prises,Électricité,Casablanca,33.51662,-7.63121,normal,140,1820,337,3,completed,2025-07-26
183,365,Système d'arrosage,Jardinage,Oujda,34.61111,-1.82748,urgent,105,1170,224,0,completed,2025-09-18
184,269,Poser carrelage salle de bain,Carrelage,Tanger,35.65587,-5.83237,normal,175,2600,256,4,open,2026-05-31
185,40,Montage meubles,Déménagement,Meknès,33.8218,-5.56806,normal,210,2860,210,3,open,2025-10-31
186,119,Serrure bloquée,Serrurerie,Oujda,34.7863,-1.87108,normal,70,910,63,3,completed,2025-12-21
187,185,Serrure bloquée,Serrurerie,Casablanca,33.57114,-7.54133,très urgent,70,910,75,3,open,2025-10-20
188,188,Repeindre le salon,Peinture,Oujda,34.61278,-1.97213,normal,140,2080,294,4,completed,2025-06-23
189,25,Enduit à refaire,Maçonnerie,Rabat,34.06568,-6.91538,urgent,280,4550,313,0,open,2025-10-13
190,232,Porte qui frotte,Menuiserie,Agadir,30.35032,-9.61196,urgent,210,2860,125,1,completed,2026-02-26
191,48,Transport canapé,Déménagement,Casablanca,33.5888,-7.52859,urgent,210,2860,120,2,completed,2025-08-29
192,101,Transport canapé,Déménagement,Rabat,33.92736,-6.92776,urgent,210,2860,121,4,open,2026-03-15
193,390,Joints à refaire,Carrelage,Fès,33.95821,-4.90656,normal,175,2600,34,2,completed,2026-02-22
194,259,WC bouché,Plomberie,Meknès,33.81457,-5.64496,normal,105,1170,97,1,completed,2026-03-25
195,126,Système d'arrosage,Jardinage,Fès,34.07875,-4.95385,normal,105,1170,340,0,open,2025-08-13
196,1,Décoration chambre,Peinture,Oujda,34.69295,-1.91357,urgent,140,2080,311,4,completed,2026-01-29
197,182,Déménagement 3 pièces,Déménagement,Meknès,33.94791,-5.54223,normal,210,2860,287,3,open,2025-09-18
198,38,Déménagement 3 pièces,Déménagement,Tanger,35.83343,-5.91713,très urgent,210,2860,225,3,open,2025-11-13
199,250,Enduit à refaire,Maçonnerie,Casablanca,33.5116,-7.53032,urgent,280,4550,260,4,completed,2025-08-15
200,155,Installer interphone,Serrurerie,Marrakech,31.55216,-7.8945,très urgent,70,910,159,3,completed,2026-01-29
201,105,Système d'arrosage,Jardinage,Fès,34.01509,-5.09701,très urgent,105,1170,81,2,completed,2026-01-29
202,40,Déménagement 3 pièces,Déménagement,Agadir,30.3964,-9.59538,normal,210,2860,275,0,completed,2025-11-10
203,6,Tableau à refaire,Électricité,Fès,34.08613,-4.98668,normal,140,1820,290,1,completed,2025-06-17
204,172,Transport canapé,Déménagement,Oujda,34.6536,-1.9489,normal,210,2860,294,4,open,2026-02-09
205,222,Nettoyage après travaux,Nettoyage,Casablanca,33.60906,-7.57942,urgent,70,780,289,0,completed,2025-12-15
206,375,PC qui ne démarre plus,Informatique,Agadir,30.35082,-9.54143,normal,70,1170,345,3,open,2025-06-26
207,23,Décoration chambre,Peinture,Casablanca,33.67117,-7.65586,normal,140,2080,243,1,completed,2025-10-13
208,34,Placard sur mesure,Menuiserie,Casablanca,33.5224,-7.59355,normal,210,2860,269,1,completed,2025-08-02
209,236,Terrasse à carreler,Carrelage,Tanger,35.8353,-5.73548,normal,175,2600,315,4,completed,2025-11-21
210,168,Nettoyage après travaux,Nettoyage,Fès,34.06957,-4.92749,normal,70,780,172,4,completed,2025-09-28
211,223,Système d'arrosage,Jardinage,Agadir,30.39064,-9.59619,normal,105,1170,237,0,completed,2025-10-14
212,285,Créer une ouverture,Maçonnerie,Marrakech,31.71182,-8.03543,très urgent,280,4550,80,5,completed,2026-01-02
213,215,Déménagement 3 pièces,Déménagement,Tanger,35.71606,-5.88968,urgent,210,2860,63,2,completed,2026-01-14
214,79,Changer cylindre,Serrurerie,Oujda,34.79013,-1.94734,normal,70,910,187,1,completed,2025-12-24
215,208,Changer cylindre,Serrurerie,Marrakech,31.58333,-7.95719,normal,70,910,111,4,open,2025-07-17
216,52,Installer des prises,Électricité,Rabat,34.08494,-6.94787,normal,140,1820,282,0,completed,2025-07-01
217,91,Fuite sous l'évier,Plomberie,Fès,33.9882,-4.92571,urgent,105,1170,212,5,completed,2025-08-28
218,52,Robinet qui goutte,Plomberie,Rabat,34.12645,-6.81687,urgent,105,1170,128,1,completed,2025-07-30
219,150,Montage meubles,Déménagement,Rabat,34.09264,-6.88821,normal,210,2860,340,2,open,2026-02-23
220,50,Système d'arrosage,Jardinage,Marrakech,31.67037,-8.08228,urgent,105,1170,113,5,completed,2025-12-05
221,151,Clim qui ne refroidit plus,Climatisation,Meknès,33.87576,-5.45422,urgent,350,4160,188,5,open,2026-01-27
222,77,PC qui ne démarre plus,Informatique,Fès,33.93315,-5.09541,urgent,70,1170,105,0,completed,2025-08-20
223,145,Terrasse à carreler,Carrelage,Tanger,35.77664,-5.78673,normal,175,2600,92,5,completed,2026-03-14
224,364,Créer une ouverture,Maçonnerie,Oujda,34.72047,-1.94076,normal,280,4550,206,0,open,2025-12-21
225,96,Système d'arrosage,Jardinage,Oujda,34.72093,-1.93356,urgent,105,1170,195,3,open,2026-06-02
226,217,Clim qui ne refroidit plus,Climatisation,Tanger,35.85854,-5.77962,urgent,350,4160,124,0,completed,2025-10-11
227,250,Terrasse à carreler,Carrelage,Fès,33.93428,-5.07776,normal,175,2600,283,2,completed,2025-09-05
228,395,Chauffe-eau en panne,Plomberie,Tanger,35.8052,-5.76909,normal,105,1170,31,0,completed,2025-09-21
229,349,Chaudière à réviser,Climatisation,Agadir,30.43447,-9.51387,très urgent,350,4160,343,4,open,2025-06-25
230,233,Caméras surveillance,Informatique,Agadir,30.43619,-9.5428,normal,70,1170,200,0,completed,2025-07-07
231,238,Déménagement 3 pièces,Déménagement,Marrakech,31.72098,-7.90871,normal,210,2860,165,2,completed,2025-09-30
232,297,Rafraîchir façade,Peinture,Meknès,33.84277,-5.54065,normal,140,2080,260,1,completed,2025-06-29
233,275,Lavage vitres,Nettoyage,Meknès,33.78893,-5.46761,urgent,70,780,186,4,completed,2026-03-29
234,339,Nettoyage après travaux,Nettoyage,Agadir,30.48827,-9.52129,très urgent,70,780,229,4,completed,2026-03-11
235,8,Chaudière à réviser,Climatisation,Meknès,33.80262,-5.51555,très urgent,350,4160,40,0,open,2025-10-15
236,87,Clim qui ne refroidit plus,Climatisation,Agadir,30.46495,-9.61635,très urgent,350,4160,134,5,open,2025-10-30
237,159,Lavage vitres,Nettoyage,Rabat,33.92927,-6.91607,normal,70,780,31,1,open,2025-09-04
238,59,Engazonnement,Jardinage,Tanger,35.67765,-5.77649,urgent,105,1170,268,4,open,2026-04-15
239,143,Panne de courant,Électricité,Tanger,35.82199,-5.86573,normal,140,1820,126,4,completed,2026-04-18
240,33,Réparer parquet,Menuiserie,Fès,33.99916,-4.99522,urgent,210,2860,129,3,completed,2025-12-01
241,200,Changer cylindre,Serrurerie,Rabat,34.08734,-6.78195,normal,70,910,115,1,completed,2026-04-01
